question,document
Can I still join the course if I found it late?,74eb249bbf
Is it too late to start this course now?,74eb249bbf
"If I join after the course started, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate if I join late?,74eb249bbf
Do I have to submit the project before submissions close to get certified?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — should I be worried, or can I just start the course?",977bf7786c
Do I actually need an acceptance or confirmation message to begin submitting homework for the LLM Zoomcamp?,977bf7786c
"If I registered for the course, is there some list they check before letting me do the assignments?",977bf7786c
"Is course registration for LLM Zoomcamp required, or is it only for showing interest before the start date?",977bf7786c
Can I still join the LLM Zoomcamp and turn in homework even if I didn’t officially register ahead of time?,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,489dd1c9d9
Where can I find the livestream link for office hours or workshop sessions before they start?,489dd1c9d9
"Can I watch the live sessions on YouTube, and where do I send questions during the stream?",489dd1c9d9
Why isn’t the Zoom URL shared with students for the live Q&A sessions?,489dd1c9d9
Is the announcements channel on Telegram or Slack the place where the session video link gets posted?,489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what order should I follow each week?",04919992b3
"Can I join the course at any time, and where do I check the deadlines?",04919992b3
"What’s the usual weekly routine for the lessons, notebooks, and homework submissions?",04919992b3
"Do I need to follow a fixed schedule, or can I watch the videos and do the work whenever I want?",04919992b3
"How is the homework set up compared to the lesson materials, and where do I submit it?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,c2903069a0
Why does the leaderboard show some random name for me instead of my real one?,c2903069a0
Where can I check what display name I’m using in the course?,c2903069a0
Can I change the nickname that appears on the leaderboard?,c2903069a0
What do I need to fill in so my certificate shows my real legal name?,c2903069a0
Can I take the course on my own time and still get a certificate at the end?,69d122f12e
"If I go through the materials self-paced, will I be eligible for the course certificate?",69d122f12e
Do you give certificates to people who don’t join the live cohort?,69d122f12e
Why isn’t there a certificate option for self-paced students in this course?,69d122f12e
Is the certificate only available if I complete the course during the live run and do the peer reviews?,69d122f12e
"Can I still get a certificate if I skipped the first homework, or is homework required?",9f689c185f
Do I need to complete every homework assignment to get the course certificate?,9f689c185f
What do I actually need to pass in order to receive the certificate?,9f689c185f
"Is the Capstone project the only mandatory thing for the certificate, or do homework scores matter too?",9f689c185f
"If homework isn’t required, why should I still do it during the course?",9f689c185f
Why does the homework content keep changing from one day to the next?,96286b4be4
What does it mean if the homework title has [DRAFT] in it?,96286b4be4
How can I tell that a homework assignment is actually ready to do?,96286b4be4
Is it safe to start working on homework before it’s officially open?,96286b4be4
Can the homework still change even after I see it on the course platform?,96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the expected date for the next course offering?,bd31146b0e
"Will this course be back in Summer 2027, or earlier?",bd31146b0e
Is there a planned next session for this course?,bd31146b0e
Where can I find the course videos for each lesson?,31456f4b5f
Is there a main place I should start if I want to follow the lectures?,31456f4b5f
"Do the lesson pages already link to the videos somewhere, or do I need to search YouTube?",31456f4b5f
What’s the best way to keep up with the latest lecture links for this course?,31456f4b5f
How do I find the videos if I only have the course repo?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework updates in one place?,20c5a1347e
Is there a course dashboard for tracking deadlines and my progress in LLM Zoomcamp?,20c5a1347e
How can I follow the current cohort structure for LLM Zoomcamp?,20c5a1347e
"What site should I use to see homework, deadlines, and course progress for this zoomcamp?",20c5a1347e
Does LLM Zoomcamp have a management platform like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you run office hours or live classes for every module, or is the course mostly pre-recorded?",d65e05bd7a
How do I get help if I’m stuck on a module and there isn’t a live session scheduled?,d65e05bd7a
"Where do you announce live sessions, and how will students know when they happen?",d65e05bd7a
Is there any extra support option with regular Zoom office hours if I want more structure?,d65e05bd7a
"Are the course materials free, and does the paid support community change that?",d65e05bd7a
Can I count Bluesky posts as learning in public credits for the course?,dbf5369006
Are Bluesky updates accepted for learning in public credits?,dbf5369006
"If I post about the course on Bluesky, does that qualify for public learning credit?",dbf5369006
Does the course allow using Bluesky for learning in public credits?,dbf5369006
Can I get learning in public credit by sharing course progress on Bluesky?,dbf5369006
What is the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group or channel link?,054f3fd58f
"Is there a Telegram channel for this course, and what is it used for?",054f3fd58f
Should I use the Telegram channel or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Where do course announcements get posted for LLM Zoomcamp?,054f3fd58f
Why does the FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
I ran the code and got a different FAQ count — is the dataset updated live?,e2d595f23c
Why don't my FAQ dataset results match the videos exactly?,e2d595f23c
