question,answer_llm,answer_orig,document
Can I still join the course if I found it late?,"Yes, you can still join the course if you found it late. If you want a certificate, though, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to start this course now?,"You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course started, can I still get a certificate?","Yes — if you join after the course has started, you can still get a certificate, but only if you submit your project while the course is still accepting submissions and finish with the live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I join late?,"If you join late, you can still get the certificate, but you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I have to submit the project before submissions close to get certified?,"Yes. If you want to receive a certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — should I be worried, or can I just start the course?","You don’t need to worry — you’re accepted, and the confirmation email isn’t required.

You can just start the course and submit homework while the form is open. Registration is only used to gauge interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance or confirmation message to begin submitting homework for the LLM Zoomcamp?,"No—you don’t need an acceptance or confirmation email. You can start learning and submitting homework while the form is open, and it is not checked against a registered list. Registration is only to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I registered for the course, is there some list they check before letting me do the assignments?","No. Registration is not checked against any list. You can start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is course registration for LLM Zoomcamp required, or is it only for showing interest before the start date?","Registration is only to gauge interest before the start date. You don’t need it to be “accepted,” and you can start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I still join the LLM Zoomcamp and turn in homework even if I didn’t officially register ahead of time?,I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,"Students don’t use the Zoom link directly. The Zoom link is only for instructors/presenters/TAs.

For students:
- Join via the YouTube Live stream
- Submit questions in Slido
- Find the video link in the announcements channel on Telegram or Slack before the session starts
- You can also watch on the DataTalksClub YouTube channel

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the livestream link for office hours or workshop sessions before they start?,"The livestream link is usually posted in the **announcements channel on Telegram and Slack before the session starts**. You can also watch it live on the **DataTalksClub YouTube channel**.

","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the live sessions on YouTube, and where do I send questions during the stream?","Yes — you can watch the live sessions on the DataTalksClub YouTube channel.

During the stream, send your questions to Slido; the Slido link is pinned in the live chat. Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Why isn’t the Zoom URL shared with students for the live Q&A sessions?,"The Zoom link isn’t shared with students because it’s only published to instructors, presenters, and TAs.

Students join the live sessions via YouTube Live and ask questions through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is the announcements channel on Telegram or Slack the place where the session video link gets posted?,The session video link should be posted in the announcements channel on **both Telegram and Slack** before it begins.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what order should I follow each week?","If you’re just starting, begin with these:

1. **LLM Zoomcamp docs**
2. **General Zoomcamp logistics docs**
3. **LLM Zoomcamp GitHub repository**

For the weekly order, follow this workflow:

1. **Watch the lesson videos**
2. **Work through the lesson notebooks/code**
3. **Read the homework instructions on GitHub**
4. **Submit your answers on the course platform before the deadline**

If anything is unclear, start by checking the **GitHub homework instructions** first.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course at any time, and where do I check the deadlines?","Yes, you can start whenever you want. The videos and GitHub materials are available on demand.

To check the deadlines, use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly routine for the lessons, notebooks, and homework submissions?","A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to follow a fixed schedule, or can I watch the videos and do the work whenever I want?","You can watch the videos and do the work whenever you want. You do not need to follow a fixed schedule — the course materials are available anytime, and you can start whenever you want. The deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How is the homework set up compared to the lesson materials, and where do I submit it?","Homework is set up similarly to the lesson flow, but it may use a different dataset or slightly different task.

You should:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit your answers through the course management platform before the deadline

Where to submit:
- Submit via the course platform: https://courses.datatalks.club/llm-zoomcamp-2026/
- The GitHub repo is for the homework questions/instructions, not submission

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,"Click the **“Jump to your record on the leaderboard”** link. Your account was automatically given a random display name, so that link will take you straight to your own entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random name for me instead of my real one?,"Because the leaderboard uses your **public display name**, not your certificate name.

When you create your account, you’re assigned a **random anonymous nickname** by default, like “Lucid Elbakyan.” That’s what shows on the public leaderboard. Your **real name** is only used in the **certificate name** field and appears on your certificate, not publicly.

If you want to change it, go to **Edit Course Profile**:
- **First field** = leaderboard/display name
- **Second field** = certificate/official name

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using in the course?,Click **“Edit Course Profile”** — your **first field** is your public **display name/nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears on the leaderboard?,"Yes. In **Edit Course Profile**, you can change the **first field**, which is your **nickname/display name** shown on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
